ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
,variation,ergo-series-005,ergo-series,0,Artikelnummer,192039362,1,0,Omschrijving,YaleERGO 360 9000,1,0,Capaciteit,9.000,1,0,Hijshoogte,1.5,1,0,Aantal parten,3,1,0,,,,
,variation,ergo-series-006,ergo-series,0,Artikelnummer,192058102,1,0,Omschrijving,YaleERGO360,1,0,Capaciteit,750,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-007,ergo-series,0,Artikelnummer,192058103,1,0,Omschrijving,YaleERGO360,1,0,Capaciteit,750,1,0,Hijshoogte,6.0,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-008,ergo-series,0,Artikelnummer,192058104,1,0,Omschrijving,YaleERGO360,1,0,Capaciteit,1.500,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-009,ergo-series,0,Artikelnummer,192058105,1,0,Omschrijving,YaleERGO361,1,0,Capaciteit,1.500,1,0,Hijshoogte,6.0,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-010,ergo-series,0,Artikelnummer,192058106,1,0,Omschrijving,YaleERGO362,1,0,Capaciteit,3.000,1,0,Hijshoogte,3.0,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-011,ergo-series,0,Artikelnummer,192058107,1,0,Omschrijving,YaleERGO363,1,0,Capaciteit,3.000,1,0,Hijshoogte,6.0,1,0,Aantal parten,1,1,0,,,,
,variation,ergo-series-012,ergo-series,0,Artikelnummer,192083509,1,0,Omschrijving,YaleERGO364,1,0,Capaciteit,6.000,1,0,Hijshoogte,3.0,1,0,Aantal parten,2,1,0,,,,
,variation,ergo-series-013,ergo-series,0,Artikelnummer,192083510,1,0,Omschrijving,YaleERGO365,1,0,Capaciteit,9.000,1,0,Hijshoogte,3.0,1,0,Aantal parten,3,1,0,,,,
,variation,ergo-series-014,ergo-series,0,Artikelnummer,192083511,1,0,Omschrijving,YaleERGO360,1,0,Capaciteit,6.000,1,0,Hijshoogte,6.0,1,0,Aantal parten,2,1,0,,,,
,variation,ergo-series-015,ergo-series,0,Artikelnummer,192083512,1,0,Omschrijving,YaleERGO360,1,0,Capaciteit,9.000,1,0,Hijshoogte,6.0,1,0,Aantal parten,3,1,0,,,,
