ID,Type,SKU,Parent,Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
,variation,st05-series-001,st05-series,0,Type,ST 0501-8 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st05-series-002,st05-series,0,Type,ST 0501-8/2 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st05-series-003,st05-series,0,Type,ST 0501-16 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),16,1,0,Parten,1/1,1,0
,variation,st05-series-004,st05-series,0,Type,ST 0501-16/4 1/1,1,0,Capaciteit (kg),125,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st05-series-005,st05-series,0,Type,ST 0502-8 1/1,1,0,Capaciteit (kg),250,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st05-series-006,st05-series,0,Type,ST 0502-8/2 1/1,1,0,Capaciteit (kg),250,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st05-series-007,st05-series,0,Type,ST 0503-6 1/1,1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),6,1,0,Parten,1/1,1,0
,variation,st05-series-008,st05-series,0,Type,"ST 0503-6/1,5 1/1",1,0,Capaciteit (kg),320,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,1/1,1,0
,variation,st05-series-009,st05-series,0,Type,ST 0502-8 2/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st05-series-010,st05-series,0,Type,ST 0502-8/2 2/1,1,0,Capaciteit (kg),500,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st05-series-011,st05-series,0,Type,ST 0503-6 2/1,1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),6,1,0,Parten,2/1,1,0
,variation,st05-series-012,st05-series,0,Type,"ST 0503-6/1,5 2/1",1,0,Capaciteit (kg),630,1,0,Snelheid (m/min),"6/1,5",1,0,Parten,2/1,1,0
,variation,st30-series-001,st30-series,0,Type,ST 3210-8/2 1/1,1,0,Capaciteit (kg),1000,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-002,st30-series,0,Type,ST 3210-16/4 1/1,1,0,Capaciteit (kg),1.000,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st30-series-003,st30-series,0,Type,ST 3012-8 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st30-series-004,st30-series,0,Type,ST 3012-8/2 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-005,st30-series,0,Type,ST 3212-8/2 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-006,st30-series,0,Type,ST 3212-16/4 1/1,1,0,Capaciteit (kg),1.250,1,0,Snelheid (m/min),16/4,1,0,Parten,1/1,1,0
,variation,st30-series-007,st30-series,0,Type,ST 3016-8 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8,1,0,Parten,1/1,1,0
,variation,st30-series-008,st30-series,0,Type,ST 3016-8/2 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-009,st30-series,0,Type,ST 3216-8/2 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),8/2,1,0,Parten,1/1,1,0
,variation,st30-series-010,st30-series,0,Type,ST 3216-12/3 1/1,1,0,Capaciteit (kg),1.600,1,0,Snelheid (m/min),12/3,1,0,Parten,1/1,1,0
,variation,st30-series-011,st30-series,0,Type,ST 3210-8/2 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
,variation,st30-series-012,st30-series,0,Type,ST 3210-12/3 2/1,1,0,Capaciteit (kg),2.000,1,0,Snelheid (m/min),12/3,1,0,Parten,2/1,1,0
,variation,st30-series-013,st30-series,0,Type,ST 3012-8 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8,1,0,Parten,2/1,1,0
,variation,st30-series-014,st30-series,0,Type,ST 3012-8/2 2/1,1,0,Capaciteit (kg),2.500,1,0,Snelheid (m/min),8/2,1,0,Parten,2/1,1,0
